
Predictions were generated on 17-Jul-2019 at 13:03:04 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-130-g2d9230df-dirty
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #01: AWT-27CR2 with many DOFs with fixed yaw error and steady wind

Time      	HSShftPwr 	HSShftTq  	HSShftV   	LSSGagFxs 	LSSGagFys 	LSSGagFzs 	LSSGagV   	LSShftPwr 	LSShftTq  	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	RotSpeed  	Spn4MLxb1 	Spn4MLyb1 	Spn5ALxb1 	Spn5ALyb1 	TipDxb3   	TipDyb3   	TipRDxb3  	TipRDyb3  
(s)       	(kW)      	(kN-m)    	(rpm)     	(kN)      	(kN)      	(kN)      	(rpm)     	(kW)      	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(rpm)     	(kN-m)    	(kN-m)    	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(deg)     	(deg)     
   10.2800	 1.346E-13	 1.260E-08	 1.020E-04	-4.943E-06	 4.215E-07	-6.684E+00	 3.610E-06	 1.337E-13	 3.560E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.587E-06	-1.465E-03	 2.767E-02	 2.117E-04	-6.917E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.3000	-1.198E-13	-1.122E-08	 1.020E-04	-6.210E-06	 6.215E-07	-6.684E+00	 3.610E-06	-1.171E-13	-3.170E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.529E-06	-1.465E-03	 2.767E-02	 1.483E-04	-4.104E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.3200	-3.072E-13	-2.888E-08	 1.016E-04	-5.851E-06	 6.568E-07	-6.684E+00	 3.596E-06	-2.973E-13	-8.159E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.480E-06	-1.465E-03	 2.767E-02	 4.924E-05	-3.996E-07	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.3400	-3.811E-13	-3.605E-08	 1.009E-04	-4.006E-06	 5.233E-07	-6.684E+00	 3.573E-06	-3.682E-13	-1.018E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.452E-06	-1.464E-03	 2.768E-02	-5.916E-05	 3.223E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.3600	-3.276E-13	-3.120E-08	 1.003E-04	-1.191E-06	 2.600E-07	-6.684E+00	 3.550E-06	-3.189E-13	-8.814E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.455E-06	-1.464E-03	 2.768E-02	-1.490E-04	 5.846E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.3800	-1.665E-13	-1.593E-08	 9.982E-05	 1.845E-06	-6.215E-08	-6.684E+00	 3.533E-06	-1.644E-13	-4.501E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.488E-06	-1.464E-03	 2.768E-02	-1.980E-04	 6.834E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.4000	 5.787E-14	 5.542E-09	 9.971E-05	 4.318E-06	-3.591E-07	-6.684E+00	 3.530E-06	 5.812E-14	 1.566E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.544E-06	-1.464E-03	 2.768E-02	-1.950E-04	 5.992E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.4200	 2.885E-13	 2.754E-08	 1.000E-04	 5.614E-06	-5.556E-07	-6.684E+00	 3.541E-06	 2.941E-13	 7.781E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.610E-06	-1.464E-03	 2.768E-02	-1.425E-04	 3.596E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.4400	 4.686E-13	 4.443E-08	 1.007E-04	 5.435E-06	-6.045E-07	-6.684E+00	 3.566E-06	 4.823E-13	 1.255E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.670E-06	-1.465E-03	 2.768E-02	-5.537E-05	 3.069E-07	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.4600	 5.539E-13	 5.203E-08	 1.017E-04	 3.871E-06	-4.975E-07	-6.684E+00	 3.599E-06	 5.711E-13	 1.470E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.710E-06	-1.465E-03	 2.767E-02	 4.299E-05	-3.007E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
